SpatialDimType,SpatialDim,Dim1,TimeDim,NumericValue
WORLDBANKINCOMEGROUP,WB_LI,Male,2017,61.0571166
COUNTRY,MYS,Both,2012,74.61637828
COUNTRY,SSD,Male,2014,56.89529775
COUNTRY,BRA,Female,2008,77.19974682
COUNTRY,IRN,Both,2005,74.88504507
REGION,AFR,Both,2013,61.51649833
COUNTRY,VEN,Both,2000,74.03248641
COUNTRY,JOR,Both,2006,73.85308999
COUNTRY,SDN,Female,2002,64.66800703
COUNTRY,COD,Both,2014,59.46084106
COUNTRY,SUR,Male,2000,67.71299719
COUNTRY,BEL,Female,2014,83.27119692
COUNTRY,LKA,Male,2005,69.50492375
COUNTRY,PAK,Male,2006,62.38153741
COUNTRY,CRI,Male,2014,78.08281457
COUNTRY,DEU,Male,2013,77.93742
COUNTRY,MLI,Both,2005,56.25739607
COUNTRY,SAU,Female,2002,72.36408452
COUNTRY,TKM,Both,2012,69.3130409
COUNTRY,TJK,Female,2010,71.84882818
COUNTRY,CAN,Both,2020,81.29950989
COUNTRY,JPN,Both,2007,82.7592849
COUNTRY,ETH,Female,2021,69.74860163
COUNTRY,LAO,Both,2013,65.9670211
COUNTRY,ALB,Male,2011,75.1085951
COUNTRY,PNG,Female,2007,64.88087363
COUNTRY,COM,Male,2017,66.6678842
COUNTRY,AUS,Both,2003,80.56634063
COUNTRY,ISL,Both,2009,81.49587558
COUNTRY,CHN,Both,2007,73.8389379
COUNTRY,CIV,Male,2011,55.7335327
COUNTRY,GHA,Female,2003,61.10028356
COUNTRY,OMN,Both,2008,73.35031827
COUNTRY,JAM,Female,2001,74.33521021
COUNTRY,PRY,Female,2005,77.33795075
COUNTRY,PAN,Male,2007,74.0462174
COUNTRY,MDG,Both,2006,61.19063264
COUNTRY,SVK,Male,2004,70.2662963
COUNTRY,LKA,Female,2007,77.94830516
COUNTRY,UGA,Male,2008,55.56561717
WORLDBANKINCOMEGROUP,WB_UMI,Male,2019,72.73311728
REGION,EMR,Female,2015,70.68140443
COUNTRY,DOM,Female,2006,75.56659923
COUNTRY,BFA,Both,2019,62.61228276
COUNTRY,TTO,Both,2014,74.31626767
COUNTRY,COG,Female,2008,58.99294498
COUNTRY,CPV,Female,2000,75.05903211
COUNTRY,DEU,Both,2020,80.79637728
COUNTRY,NER,Female,2021,60.93901222
COUNTRY,MDV,Female,2021,76.59470056
REGION,AMR,Male,2019,74.41702666
COUNTRY,SVN,Female,2014,83.52849775
COUNTRY,MNE,Male,2010,73.25713141
COUNTRY,ROU,Female,2019,79.23492015
COUNTRY,LBY,Female,2011,74.02010622
COUNTRY,CHN,Both,2020,77.48113543
COUNTRY,BGD,Male,2013,71.51260799
COUNTRY,ARG,Both,2013,76.20888199
COUNTRY,SEN,Male,2003,59.28359068
COUNTRY,BGR,Male,2015,71.17438409
COUNTRY,BFA,Female,2010,60.65383452
COUNTRY,FJI,Both,2018,67.86709271
